# Constructed from biom file
#OTU ID	AC1-1_S10_L001_R1_001	AC1-2_S11_L001_R1_001	AC1-3_S12_L001_R1_001	AC2-1_S30_L001_R1_001	AC2-2_S31_L001_R1_001	AC2-3_S32_L001_R1_001	AN1-1_S1_L001_R1_001	AN1-2_S40_L001_R1_001	AN1-3_S41_L001_R1_001	AN2-1_S2_L001_R1_001	AN2-2_S3_L001_R1_001	AN2-3_S42_L001_R1_001	KL1-1_S7_L001_R1_001	KL1-2_S8_L001_R1_001	KL1-3_S9_L001_R1_001	KL2-1_S27_L001_R1_001	KL2-2_S28_L001_R1_001	KL2-3_S29_L001_R1_001	LS1-1_S4_L001_R1_001	LS1-2_S5_L001_R1_001	LS1-3_S6_L001_R1_001	LS2-1_S34_L001_R1_001	LS2-2_S35_L001_R1_001	LS2-3_S36_L001_R1_001	MJ1-1_S33_L001_R1_001	MJ1-2_S25_L001_R1_001	MJ1-3_S26_L001_R1_001	MJ2-1_S37_L001_R1_001	MJ2-2_S38_L001_R1_001	MJ2-3_S39_L001_R1_001	NS1-1_S16_L001_R1_001	NS1-2_S17_L001_R1_001	NS1-3_S18_L001_R1_001	NS2-1_S22_L001_R1_001	NS2-2_S23_L001_R1_001	NS2-3_S24_L001_R1_001	RF1-1_S13_L001_R1_001	RF1-2_S14_L001_R1_001	RF1-3_S15_L001_R1_001	RF2-1_S19_L001_R1_001	RF2-2_S20_L001_R1_001	RF2-3_S21_L001_R1_001
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae;g__Devosia	58.0	33.0	28.0	48.0	69.0	62.0	20.0	28.0	31.0	94.0	71.0	58.0	45.0	86.0	0.0	88.0	104.0	87.0	23.0	0.0	0.0	0.0	0.0	14.0	77.0	242.0	86.0	106.0	92.0	62.0	38.0	32.0	24.0	19.0	25.0	0.0	46.0	0.0	0.0	33.0	0.0	19.0
k__Pseudomonadati;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacter	0.0	0.0	0.0	866.0	0.0	297.0	583.0	566.0	771.0	667.0	920.0	1204.0	521.0	404.0	0.0	118.0	9.0	37.0	48.0	628.0	180.0	0.0	0.0	0.0	256.0	839.0	498.0	42.0	96.0	0.0	1053.0	749.0	614.0	833.0	883.0	951.0	438.0	4.0	32.0	625.0	211.0	1172.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola	115.0	184.0	189.0	91.0	156.0	184.0	103.0	140.0	169.0	70.0	33.0	42.0	73.0	107.0	0.0	44.0	49.0	199.0	36.0	81.0	0.0	476.0	167.0	559.0	75.0	75.0	72.0	54.0	43.0	27.0	73.0	192.0	169.0	117.0	158.0	180.0	264.0	331.0	460.0	189.0	205.0	203.0
k__Pseudomonadati;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Archangiaceae;__	25.0	63.0	0.0	32.0	79.0	49.0	53.0	78.0	70.0	52.0	33.0	81.0	44.0	64.0	0.0	0.0	0.0	30.0	40.0	0.0	30.0	3.0	0.0	0.0	29.0	26.0	43.0	41.0	0.0	13.0	37.0	63.0	60.0	39.0	73.0	52.0	99.0	27.0	108.0	21.0	36.0	40.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;__;__;__	204.0	152.0	68.0	279.0	136.0	151.0	170.0	192.0	185.0	352.0	429.0	372.0	168.0	76.0	0.0	184.0	120.0	225.0	1963.0	599.0	1341.0	112.0	218.0	201.0	290.0	343.0	179.0	263.0	280.0	235.0	78.0	107.0	101.0	82.0	111.0	78.0	90.0	81.0	123.0	119.0	188.0	198.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;__	0.0	0.0	120.0	25.0	0.0	31.0	35.0	30.0	27.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	48.0	0.0	116.0	390.0	392.0	59.0	0.0	82.0	175.0	34.0	131.0	60.0	214.0	10.0	73.0	111.0	117.0	0.0	46.0	83.0	15.0	74.0	82.0	38.0	773.0	41.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;__	62.0	50.0	0.0	0.0	125.0	116.0	0.0	42.0	59.0	87.0	169.0	85.0	94.0	78.0	0.0	86.0	105.0	112.0	46.0	47.0	31.0	52.0	0.0	0.0	43.0	0.0	26.0	90.0	27.0	0.0	60.0	103.0	103.0	22.0	69.0	66.0	64.0	67.0	132.0	51.0	71.0	37.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Nitrobacter	103.0	34.0	71.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	83.0	109.0	0.0	0.0	25.0	20.0	50.0	37.0	115.0	115.0	57.0	212.0	154.0	282.0	0.0	0.0	0.0	57.0	68.0	63.0	0.0	35.0	24.0	0.0	118.0	29.0
k__Bacillati;p__Actinomycetota;__;__;__;__	25.0	25.0	38.0	178.0	28.0	124.0	202.0	166.0	192.0	61.0	60.0	68.0	144.0	100.0	0.0	19.0	0.0	45.0	50.0	404.0	126.0	2.0	148.0	48.0	151.0	25.0	52.0	164.0	487.0	95.0	315.0	262.0	169.0	279.0	304.0	470.0	25.0	103.0	94.0	454.0	151.0	128.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus	10.0	67.0	58.0	16.0	58.0	30.0	20.0	72.0	43.0	0.0	7.0	0.0	81.0	78.0	0.0	21.0	10.0	78.0	19.0	7.0	0.0	130.0	22.0	103.0	9.0	0.0	0.0	17.0	0.0	0.0	31.0	56.0	73.0	28.0	40.0	38.0	105.0	142.0	178.0	21.0	38.0	30.0
